Solution,Score
aerate,6
aerating,15
aerie,5
aerier,6
agar,1
ager,1
agger,5
aggregate,9
aggregating,18
aginner,7
agrarian,8
agree,5
agreeing,8
agria,5
aigret,6
aigrette,8
airer,5
airier,6
airing,6
airn,1
airt,1
airting,7
anear,5
anearing,8
anergia,7
angaria,7
anger,5
angering,8
angrier,7
anteater,8
antiair,7
antiar,6
antiarin,8
antra,5
antre,5
area,1
areae,5
arena,5
arenite,7
arete,5
argent,6
argentine,16
argentite,16
arginine,8
aria,1
arietta,7
ariette,7
arraign,7
arraigning,10
arrange,7
arranger,8
arranging,9
arrant,6
arrear,6
arrearage,9
artier,6
atria,5
attainer,8
attar,5
attire,6
attiring,8
attrite,7
eager,5
eagerer,7
eagre,5
earing,6
earn,1
earner,6
earning,7
earring,7
eater,5
eerie,5
eerier,6
eger,1
eggar,5
egger,5
egret,5
engager,7
engineer,8
engineering,11
engirt,6
engrain,7
engraining,10
enrage,6
enraging,8
enter,5
entera,6
enterer,7
entering,8
entertain,9
entertainer,11
entertaining,19
entire,6
entrain,7
entrainer,9
entraining,17
entrant,7
entreat,7
entreating,17
entree,6
ergate,6
erne,1
errant,6
errata,6
erring,6
etagere,7
eterne,6
gager,5
gagger,6
gainer,6
gaiter,6
ganger,6
gangrene,8
gangrening,10
garage,6
garaging,8
garget,6
garner,6
garnering,9
garnet,6
garni,5
garnierite,17
garret,6
garring,7
garter,6
gartering,16
gear,1
gearing,7
genera,6
generate,8
generating,17
genre,5
gerent,6
getter,6
gettering,9
ginger,6
gingering,9
ginner,6
ginnier,7
girn,1
girning,7
girt,1
girting,7
gittern,7
gnar,1
gnarr,5
gnarring,8
gnattier,15
grain,5
grainer,7
grainier,8
graining,8
gran,1
grana,5
grange,6
granger,7
granita,7
granite,14
grannie,7
grant,5
grantee,7
granter,7
granting,8
grat,1
grate,5
grater,6
gratin,6
gratine,14
gratinee,15
gratineeing,18
grating,7
great,5
greaten,7
greatening,17
greater,7
gree,1
greegree,8
greeing,7
green,5
greener,7
greengage,9
greenie,7
greenier,8
greening,8
greet,5
greeter,7
greeting,8
gregarine,9
greige,6
grig,1
grigri,6
grin,1
grinner,7
grinning,8
grit,1
grittier,8
gritting,8
igniter,7
inaner,6
inerrant,8
inert,5
inertia,7
inertiae,8
ingrain,7
ingraining,10
ingrate,14
ingratiate,17
ingratiating,12
inner,5
integer,7
integrate,16
integrating,18
intenerate,10
intenerating,19
inter,5
interage,15
intergang,16
intern,6
interne,7
internee,8
interning,9
interregna,17
interring,9
intertie,8
intrant,7
intreat,7
intreating,17
intrigant,9
irate,5
irater,6
iring,5
irrigate,8
irrigating,10
irritant,8
irritate,8
irritating,10
iterant,7
iterate,7
iterating,16
itinerant,9
itinerate,9
itinerating,18
nagger,6
naggier,7
naira,5
narine,6
narrate,7
narrater,8
narrating,9
natter,6
nattering,16
nattier,7
near,1
nearer,6
nearing,7
neater,6
negater,7
netter,6
nettier,7
nigger,6
niter,5
niterie,7
nitrate,7
nitrating,9
nitre,5
nitrite,7
nittier,7
raga,1
rage,1
ragee,5
raggee,6
ragging,7
ragi,1
raging,6
ragtag,6
raia,1
rain,1
rainier,7
raining,7
ranee,5
rang,1
range,5
ranger,6
rangier,7
ranging,7
rani,1
rant,1
ranter,6
ranting,7
rare,1
rarer,5
raring,6
ratan,5
ratatat,7
rate,1
rater,5
ratine,6
rating,6
ratite,6
rattan,6
ratteen,7
ratten,6
rattener,8
rattening,16
ratter,6
rattier,7
ratting,7
reagent,7
reaggregate,11
reaggregating,20
reagin,6
rear,1
rearer,6
rearing,7
rearrange,9
rearranging,11
reata,5
reattain,8
reattaining,18
reearn,6
reearning,9
reengage,8
reengaging,10
reengineer,10
reengineering,13
reenter,7
reentering,10
reentrant,9
regain,6
regainer,8
regaining,9
regatta,7
regear,6
regearing,9
regenerate,10
regenerating,19
regent,6
reggae,6
regina,6
reginae,7
regna,5
regnant,7
regrant,7
regranting,17
regrate,7
regrating,16
regreen,7
regreening,10
regreet,7
regreeting,10
regret,6
regretter,9
regretting,10
reign,5
reigning,8
reignite,8
reigniting,10
rein,1
reining,7
reinitiate,10
reinitiating,19
reintegrate,18
reintegrating,20
reinter,7
reinterring,11
reiterate,9
reiterating,18
renege,6
reneger,7
reneging,8
renig,5
renigging,9
renin,5
renitent,8
rennet,6
rennin,6
rent,1
rente,5
renter,6
rentier,7
renting,7
reran,5
rerig,5
rerigging,9
retag,5
retagging,16
retain,6
retainer,8
retaining,16
retarget,8
retargeting,18
rete,1
retear,6
retearing,16
retene,6
retia,5
retiarii,8
retie,5
retina,6
retinae,7
retine,6
retinene,8
retinite,8
retint,6
retinting,9
retirant,8
retire,6
retiree,7
retirer,7
retiring,8
retrain,7
retraining,17
retreat,7
retreatant,10
retreater,9
retreating,17
retting,7
riant,5
riata,5
rigger,6
rigging,7
ring,1
ringent,7
ringer,6
ringgit,7
ringing,7
rinning,7
rite,1
ritter,6
tagger,6
tagrag,6
tanager,7
tangerine,16
tangier,14
tanner,6
tantara,7
tantra,6
tare,1
targe,5
target,6
targeting,16
taring,6
tarn,1
tarre,5
tarrier,7
tarring,7
tart,1
tartan,6
tartana,7
tartar,6
tarter,6
tarting,7
tartrate,8
tatar,5
tater,5
tatter,6
tattering,16
tattier,7
tear,1
tearer,6
tearier,7
tearing,14
teenager,8
teener,6
teenier,7
teeter,6
teetering,9
tenner,6
tenter,6
tentering,9
tentier,7
terai,5
terete,6
terga,5
tergite,7
tern,1
ternate,7
terne,5
terra,5
terrae,6
terrain,7
terrane,7
terraria,8
terreen,7
terrene,7
terret,6
terrier,7
terrine,7
territ,6
tertian,7
tetra,5
tetter,6
tiara,5
tier,1
tiering,7
tiger,5
tinier,6
tinner,6
tinnier,7
tinter,6
tire,1
tiring,6
titer,5
titrant,7
titrate,7
titrating,9
titre,5
titter,6
titterer,8
tittering,9
tragi,5
train,5
trainee,7
trainer,7
training,8
trait,5
treat,5
treater,7
treating,15
tree,1
treeing,7
treen,5
tret,1
triage,6
triaging,8
triene,6
triennia,8
trier,5
trig,1
trigger,7
triggering,10
trigging,8
trine,5
trining,7
trinitarian,11
trite,5
triter,6
